store,welfare_gap,welfare_gap_per_buyer,rmse_static,rmse_habit,cv_static,cv_habit,rmse_gap,income,age60,hsizeavg,hsize1,ethnic,educ,workwom,poverty,shopavid,shophurr,shopcons,density,lat,long,price_tier,income_tercile,poverty_tercile,shopavid_tercile
2,1.5136182313151378,0.0020510820342627685,0.1482244883237231,0.09191759530139167,-9.607512295664069,-8.093894064348932,0.056306893022331425,10.5532055,0.23286474,2.5310624,0.28203318,0.11427995,0.24893494,0.30358535,0.0619594,0.18125662,0.12107307,0.091069534,0.00045604358,419081.0,878131.0,High,Mid,High,Mid
5,0.14255536454287987,0.0020533609967015366,0.016651250154605755,0.006991138219239452,-1.651874328797321,-1.509318964254441,0.009660111935366303,10.922371,0.117368035,2.6564388,0.2188517,0.05387528,0.32122573,0.41056803,0.025104603,0.16806136,0.19060902,0.032543004,0.0011192828,421203.0,880431.0,Medium,High,Low,Low
8,1.287865470241931,0.0007782099178826207,0.07315115754159142,0.06969388858251549,-32.4837163432315,-31.19585087298957,0.0034572689590759292,10.59701,0.25239402,2.769603,0.21082151,0.03524333,0.09517328,0.28307474,0.051352542,0.21744391,0.13517378,0.076220855,0.00039050236,417331.0,877436.0,Medium,Mid,Mid,High
9,4.348338541932164,0.002673500889047865,0.1023939602280425,0.07842473059033746,-29.026850086120334,-24.678511544188172,0.023969229637705036,10.787151,0.26911902,2.6168945,0.21154405,0.032618824,0.22217232,0.3589945,0.028060483,0.1536784,0.1586217,0.04332655,0.00070336054,420411.0,877994.0,Medium,High,Low,Low
12,4.244724066405811,0.002803823091572811,0.08214130222154008,0.05952864193090784,-32.59504371739247,-28.350319650986663,0.02261266029063224,9.996659,0.1783414,1.9590181,0.49259484,0.380698,0.25341296,0.3909416,0.1688641,0.11045745,0.045947865,0.22984076,0.00018423286,419928.0,876592.0,High,Low,High,Low
14,2.3375366208728074,0.0019177340003343902,0.09506910500353129,0.05653738978353143,-31.10224663575809,-28.764710014885285,0.03853171521999986,11.043929,0.21394928,2.7350614,0.18633227,0.034178745,0.34829304,0.36230576,0.019350497,0.13867384,0.21541569,0.02457085,0.0009625604,420733.0,877994.0,High,High,Low,Low
18,4.059569899193985,0.0021620678094202025,0.07986351589018104,0.07054992091865743,-30.771466137183754,-26.711896237989773,0.009313594971523606,10.391975,0.27231336,2.5303378,0.2688054,0.074417144,0.072246455,0.3139077,0.07572738,0.21568042,0.10231122,0.115461245,0.00038543055,419364.0,878331.0,Medium,Low,High,High
21,2.3922722290524905,0.00284187182170849,0.0882149895649252,0.07253551579760702,-15.562339064262844,-13.170066835210353,0.01567947376731818,10.716194,0.06689646,3.1103914,0.13883413,0.10503878,0.17750345,0.40607092,0.024785241,0.2502112,0.22697832,0.033511687,0.00083722617,420058.0,881411.0,Low,Mid,Low,High
28,1.5704259299442198,0.0019964116784828385,0.11796268377992836,0.09237118590984893,-8.554354438254784,-6.983928508310563,0.02559149787007943,10.798534,0.21330878,2.6465094,0.21060005,0.055935472,0.23316257,0.38905853,0.03549743,0.16300794,0.16581038,0.04880897,0.0012432053,420686.0,879208.0,Medium,High,Mid,Low
32,5.251052921899921,0.0028157323176299536,0.09773677097616058,0.07218460567334233,-35.187083246584024,-29.936030324684104,0.025552165302818258,10.674475,0.25495303,2.4011538,0.29030597,0.031938516,0.19825986,0.3441521,0.037700865,0.15845868,0.11477437,0.05656295,0.0004560205,419872.0,878378.0,High,Mid,Mid,Low
33,3.938120479096498,0.002657894076535142,0.2299942827072472,0.07758789627109049,-16.316453068423268,-12.378332589326769,0.15240638643615673,10.345927,0.13416997,1.5542903,0.61400956,0.13012718,0.41968802,0.47230828,0.08753807,0.06130826,0.026350636,0.12486759,0.0002484629,419386.0,876447.0,High,Low,High,Low
40,2.2369931619756316,0.0029272197321357422,0.1033810254277629,0.09004540372585843,-11.69530329186552,-9.458310129889888,0.013335621701904471,10.55025,0.1818518,2.7309716,0.22936721,0.044053067,0.0721286,0.30610797,0.055184804,0.23803413,0.13037342,0.0784037,0.0006887625,417317.0,877969.0,Low,Mid,Mid,High
44,1.182690159314019,0.0012424402458952324,0.11214387130694668,0.06066135559914834,-18.540564391790937,-17.357874232476917,0.05148251570779834,10.869159,0.19098277,2.7784345,0.1730534,0.037632074,0.32973838,0.34079438,0.030154848,0.17709395,0.20460567,0.04136947,0.001115212,418033.0,878903.0,Medium,High,Mid,Mid
45,0.00041277101753190045,,0.007398110837862119,0.0034544816033249925,-0.031958951570702575,-0.031546180553170676,0.003943629234537126,10.745378,0.12885734,2.4988985,0.26256758,0.08723387,0.28015018,0.4641126,0.022827392,0.17568108,0.15745193,0.034455128,0.0014544295,421403.0,879300.0,Medium,Mid,Low,Mid
47,3.358954986006541,0.0036582259869874082,0.10449681862088392,0.09293671813207009,-18.282010113654994,-14.923055127648455,0.011560100488813826,10.635326,0.1257983,2.9243994,0.17562024,0.12067589,0.14059865,0.39802703,0.03262356,0.21961704,0.16862056,0.049433373,0.0015234167,419364.0,880022.0,Medium,Mid,Mid,High
48,0.0011389486180129514,-0.0003308165052419851,0.040667674419693566,0.03047909935941269,-0.18167732608611023,-0.18053837746809728,0.010188575060280876,10.756029,0.09792196,2.352837,0.32490718,0.0994917,0.3032604,0.45968282,0.018204313,0.13841258,0.12939721,0.026869366,0.0013716549,420503.0,880775.0,Medium,High,Low,Low
49,0.000490054884735088,,0.005172956486982539,0.005309290696096748,-0.03189689948621189,-0.0314068446014768,-0.00013633420911420956,10.806754,0.1874732,2.586292,0.25550562,0.03835264,0.31994995,0.34641173,0.028320972,0.18966292,0.1719101,0.04561798,0.0016516517,418111.0,879869.0,Medium,High,Low,Mid
51,1.9404980293358858,0.0014359604867180235,0.07212897569233183,0.07276424591095039,-30.530430421497186,-28.589932392161302,-0.000635270218618561,10.620839,0.17615972,2.784705,0.1996675,0.02542572,0.17191671,0.3131898,0.039401498,0.23341645,0.1429759,0.057024106,0.0014368761,416594.0,877775.0,Medium,Mid,Mid,High
