variable,coef,se_robust,pvalue,n,r2,depvar
const,6.399164475975525,41.6256437928373,0.8778216016089602,81,0.2142756508592627,welfare_gap
income,0.47508361691757006,3.4683547103025534,0.8910492499722101,81,0.2142756508592627,welfare_gap
age60,-15.821248949706886,8.10508566595801,0.05093642151188922,81,0.2142756508592627,welfare_gap
hsizeavg,0.1277248472515411,1.8447435226179316,0.944800825324493,81,0.2142756508592627,welfare_gap
workwom,-7.060658985851045,10.078800732847975,0.48358667028789815,81,0.2142756508592627,welfare_gap
poverty,-7.57238198760365,23.87611965913263,0.7511275423349812,81,0.2142756508592627,welfare_gap
shopavid,-19.0166679563973,16.21650797806474,0.24092679222526392,81,0.2142756508592627,welfare_gap
const,0.09745701121887687,0.5570145467621127,0.8611086008950136,81,0.38053723551815255,rmse_gap
income,0.012726811385864902,0.04309746227075771,0.7677623986723436,81,0.38053723551815255,rmse_gap
age60,-0.2817028273517279,0.11581407056235885,0.015000319214164424,81,0.38053723551815255,rmse_gap
hsizeavg,-0.014534858279977747,0.026431949229114612,0.5823897963776887,81,0.38053723551815255,rmse_gap
workwom,-0.1351571004792862,0.13239817932063724,0.3073311691798244,81,0.38053723551815255,rmse_gap
poverty,-0.08297663332532497,0.31506586409867465,0.7922709474153662,81,0.38053723551815255,rmse_gap
shopavid,-0.33997785189394747,0.18260286028982115,0.06262522753477455,81,0.38053723551815255,rmse_gap
