variable,coef,depvar
shopcons,2.54527183917917,welfare_gap
income,-2.169703792353974,welfare_gap
poverty,-2.122190762479091,welfare_gap
shophurr,2.063063380103817,welfare_gap
shopavid,-1.5498627762696966,welfare_gap
age60,-1.3222729338360408,welfare_gap
hsize1,-1.2970173451063731,welfare_gap
ethnic,-1.250001058257047,welfare_gap
hsizeavg,-0.8678707834824881,welfare_gap
workwom,-0.5916379196962255,welfare_gap
density,-0.4648621241900047,welfare_gap
educ,0.037903159367772034,welfare_gap
shopcons,0.12688555736574306,rmse_gap
poverty,-0.11050518552048776,rmse_gap
hsizeavg,0.015210669948695252,rmse_gap
hsize1,0.01388154376032999,rmse_gap
shopavid,-0.013508984213040255,rmse_gap
educ,0.011168216545186564,rmse_gap
income,0.0102854555589789,rmse_gap
age60,-0.010041085739406786,rmse_gap
ethnic,-0.0073787039571706955,rmse_gap
density,0.0051363683012398504,rmse_gap
shophurr,0.00026066460187665536,rmse_gap
workwom,-0.00017268435652073038,rmse_gap
