Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_runs
LA-AIDS,0.070687,0.0,0.055926,0.0,5
BLP (IV),0.077662,0.0,0.059908,0.0,5
QUAIDS,0.069565,0.0,0.055185,0.0,5
Series Est.,0.06514,0.0,0.050766,0.0,5
Neural Demand (window),0.048723,8.2e-05,0.036622,5.8e-05,5
Linear Demand (Shared),0.092006,0.0,0.073609,0.0,5
Linear Demand (GoodSpec),0.091966,0.0,0.073558,0.0,5
Linear Demand (Orth),0.086621,0.0,0.070461,0.0,5
Neural Demand (static),0.065214,0.00083,0.050467,0.000698,5
Neural Demand (habit),0.047624,0.000157,0.035739,0.000177,5
Neural Demand (FE),0.059442,0.000583,0.045414,0.000547,5
"Neural Demand (habit, FE)",0.047657,0.00011,0.035818,7.3e-05,5
Neural Demand (CF),0.068098,0.000485,0.051983,0.000391,5
"Neural Demand (habit, CF)",0.047366,0.000102,0.035647,6.8e-05,5
"Neural Demand (habit, FE, CF)",0.04753,0.000163,0.035766,0.000247,5
PlaceboND,0.06593,0.00095,0.050989,0.000704,5
