Model,Aspirin_mean,Aspirin_std,Acetaminophen_mean,Acetaminophen_std,Ibuprofen_mean,Ibuprofen_std,n_runs
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0,5
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0,5
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0,5
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0,5
Neural Demand (window),-0.98,0.0078,-1.186,0.0033,-1.436,0.0104,5
Linear Demand (Shared),-0.1629,0.0,-0.2148,0.0,-0.1896,0.0,5
Linear Demand (GoodSpec),-0.1643,0.0,-0.205,0.0,-0.1809,0.0,5
Linear Demand (Orth),-1.1652,0.0,-1.1251,0.0,-1.1769,0.0,5
Neural Demand (static),-0.7566,0.0366,-1.5521,0.0391,-1.2838,0.0134,5
Neural Demand (habit),-0.958,0.0059,-1.2371,0.0117,-1.2006,0.0198,5
Neural Demand (FE),-0.9373,0.0252,-1.5056,0.0418,-0.8718,0.0414,5
"Neural Demand (habit, FE)",-0.9565,0.0067,-1.248,0.015,-1.1888,0.0136,5
Neural Demand (CF),-0.8445,0.027,-1.5176,0.0289,-0.9949,0.0274,5
"Neural Demand (habit, CF)",-1.0119,0.0134,-1.3414,0.0146,-1.2956,0.0111,5
"Neural Demand (habit, FE, CF)",-0.9618,0.0127,-1.3178,0.0199,-1.27,0.0154,5
PlaceboND,-0.7794,0.0415,-1.4683,0.0299,-1.318,0.0202,5
