Model,CV_Loss_mean,CV_Loss_std,n_runs
LA-AIDS,-23.218241,0.0,5
Logit-IV,-22.101686,0.0,5
QUAIDS,-23.391577,0.0,5
Series Est.,-23.329975,0.0,5
Neural Demand (window),-23.788062,0.062387,5
Linear Demand (Shared),-28.232518,0.0,5
Linear Demand (GoodSpec),-28.178325,0.0,5
Linear Demand (Orth),-24.070642,0.0,5
Neural Demand (static),-23.457354,0.113738,5
Neural Demand (habit),-21.194667,0.124108,5
Neural Demand (FE),-24.196445,0.180697,5
"Neural Demand (habit, FE)",-21.655531,0.080206,5
Neural Demand (CF),-22.735414,0.161469,5
"Neural Demand (habit, CF)",-20.96091,0.065275,5
"Neural Demand (habit, FE, CF)",-21.688165,0.155543,5
PlaceboND,-23.321465,0.093191,5
