Model,T1_CV_mean,T1_CV_se,T1_vs_static_pct,T2_CV_mean,T2_CV_se,T2_vs_static_pct
LA-AIDS,-53.2076,0.0,-4.18,-54.3956,0.8827,-1.63
Logit-IV,-47.9597,0.0,6.09,-47.1434,0.6827,11.92
QUAIDS,-52.9144,0.0,-3.61,-52.8934,0.3373,1.18
Series Est.,-51.2835,0.0,-0.41,-52.4159,0.4744,2.07
Neural Demand (window),-56.8829,0.1236,-11.38,-59.3788,0.9029,-10.94
Neural Demand (static),-51.0726,0.1355,,-53.5243,0.6758,
Neural Demand (habit),-49.574,0.1136,2.93,-51.3427,0.8573,4.08
Neural Demand (FE),-49.3942,0.2678,3.29,-53.8156,1.202,-0.54
"Neural Demand (habit, FE)",-49.0998,0.2371,3.86,-51.2719,0.8708,4.21
Neural Demand (CF),-48.8536,0.3316,4.34,-51.7854,0.9028,3.25
"Neural Demand (habit, CF)",-49.1721,0.192,3.72,-50.7757,0.8905,5.14
"Neural Demand (habit, FE, CF)",-48.9677,0.1343,4.12,-50.8802,0.9351,4.94
PlaceboND,-51.5705,0.1683,-0.98,-53.7389,0.6713,-0.4
