Model,T1_CV_mean,T1_CV_se,T1_vs_static_pct,T2_CV_mean,T2_CV_se,T2_vs_static_pct
LA-AIDS,-23.2182,0.0,0.77,-24.9433,0.338,-0.93
Logit-IV,-22.1017,0.0,5.54,-21.5012,0.3161,13.0
QUAIDS,-23.3916,0.0,0.03,-26.1438,0.8232,-5.78
Series Est.,-23.33,0.0,0.29,-24.6289,0.2073,0.35
Neural Demand (window),-23.7881,0.0624,-1.67,-25.0067,0.3263,-1.18
Neural Demand (static),-23.3977,0.1393,,-24.7145,0.209,
Neural Demand (habit),-21.1564,0.1427,9.58,-22.5589,0.4679,8.72
Neural Demand (FE),-24.2786,0.1591,-3.76,-24.8732,0.3791,-0.64
"Neural Demand (habit, FE)",-21.4369,0.1028,8.38,-22.7,0.4474,8.15
Neural Demand (CF),-22.746,0.0816,2.79,-23.7496,0.272,3.9
"Neural Demand (habit, CF)",-20.942,0.0498,10.5,-22.5395,0.4674,8.8
"Neural Demand (habit, FE, CF)",-21.6506,0.0845,7.47,-22.7507,0.4455,7.95
PlaceboND,-23.4224,0.2095,-0.11,-24.7872,0.2222,-0.29
