Model,T1_CV_mean,T1_CV_se,T1_vs_static_pct,T2_CV_mean,T2_CV_se,T2_vs_static_pct
LA-AIDS,-34.871,0.0,3.47,-36.4478,0.557,1.44
Logit-IV,-38.136,0.0,-5.57,-37.8108,0.569,-2.25
QUAIDS,-34.971,0.0,3.19,-36.7831,0.6648,0.53
Series Est.,-36.1016,0.0,0.06,-38.2381,1.2498,-3.4
Neural Demand (window),-30.6435,0.1739,15.17,-31.5028,0.5015,14.81
Neural Demand (static),-36.1239,0.1202,,-36.9805,0.8723,
Neural Demand (habit),-40.7409,0.1546,-12.78,-42.2984,0.8818,-14.38
Neural Demand (FE),-37.2971,0.2116,-3.25,-36.813,0.6227,0.45
"Neural Demand (habit, FE)",-40.9283,0.2433,-13.3,-42.2273,0.8772,-14.19
Neural Demand (CF),-38.8649,0.2938,-7.59,-39.5783,0.7199,-7.02
"Neural Demand (habit, CF)",-40.9791,0.2219,-13.44,-42.4266,0.8422,-14.73
"Neural Demand (habit, FE, CF)",-40.4235,0.1146,-11.9,-42.0979,0.784,-13.84
PlaceboND,-35.5605,0.1383,1.56,-36.8368,0.8666,0.39
