Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,0.023115,0.0
Logit-IV,0.077594,0.0,0.059957,0.0,0.052038,0.0
QUAIDS,0.069565,0.0,0.055185,0.0,0.022647,0.0
Series Est.,0.06514,0.0,0.050766,0.0,0.02,0.0
Linear Demand (Shared),0.092368,0.0,0.074264,0.0,0.040405,0.0
Linear Demand (GoodSpec),0.092416,0.0,0.074361,0.0,0.040434,0.0
Linear Demand (Orth),0.092906,0.0,0.074848,0.0,0.040427,0.0
Neural Demand (static),0.085717,0.001126,0.067312,0.000996,0.033599,0.001054
Neural Demand (habit),0.066118,0.002897,0.051046,0.002387,0.020057,0.001516
Neural Demand (CF),0.082921,0.001127,0.064792,0.000783,0.031163,0.000859
"Neural Demand (habit, CF)",0.076332,0.001664,0.059319,0.001365,0.026173,0.001069
