Model,eps_0,eps_0_se,eps_1,eps_1_se,eps_2,eps_2_se
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0
Logit-IV,-0.9954,0.0,-1.7704,0.0,-0.5948,0.0
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0
Linear Demand (Shared),-0.2018,0.0,-0.2405,0.0,-0.219,0.0
Linear Demand (GoodSpec),-0.2097,0.0,-0.2403,0.0,-0.22,0.0
Linear Demand (Orth),-0.5357,0.0,-0.6402,0.0,-0.4986,0.0
Neural Demand (static),-1.038,0.004,-1.0229,0.0035,-1.0945,0.0206
Neural Demand (habit),-1.0229,0.0207,-1.022,0.0085,-1.0479,0.0101
Neural Demand (CF),-1.0702,0.0067,-1.0139,0.0035,-1.0828,0.0108
"Neural Demand (habit, CF)",-1.0341,0.0319,-1.0234,0.0036,-1.0295,0.0045
