Model,eps_0_0,eps_0_0_se,eps_0_1,eps_0_1_se,eps_0_2,eps_0_2_se,eps_1_0,eps_1_0_se,eps_1_1,eps_1_1_se,eps_1_2,eps_1_2_se,eps_2_0,eps_2_0_se,eps_2_1,eps_2_1_se,eps_2_2,eps_2_2_se
LA-AIDS,-0.8492,0.0,-0.0924,0.0,0.0439,0.0,-0.2337,0.0,-1.4196,0.0,0.8025,0.0,0.0281,0.0,0.0785,0.0,-1.1399,0.0
Logit-IV,-0.9991,0.0,-0.2234,0.0,0.2166,0.0,-0.3629,0.0,-1.7695,0.0,1.2518,0.0,-0.1524,0.0,-0.1105,0.0,-0.5865,0.0
QUAIDS,-0.8819,0.0,-0.0736,0.0,0.0349,0.0,-0.2287,0.0,-1.4227,0.0,0.7999,0.0,0.0585,0.0,0.0591,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-0.0089,0.0,-0.1708,0.0,-0.4708,0.0,-1.6293,0.0,1.2091,0.0,0.1696,0.0,0.081,0.0,-1.2242,0.0
Linear Demand (Shared),-0.1629,0.0,-0.266,0.0,-0.266,0.0,-0.5196,0.0,-0.2148,0.0,-0.5196,0.0,-0.4571,0.0,-0.4571,0.0,-0.1896,0.0
Linear Demand (GoodSpec),-0.1643,0.0,-0.2649,0.0,-0.2649,0.0,-0.5271,0.0,-0.205,0.0,-0.5271,0.0,-0.462,0.0,-0.462,0.0,-0.1809,0.0
Linear Demand (Orth),-1.1652,0.0,0.0455,0.0,0.0455,0.0,0.128,0.0,-1.1251,0.0,0.128,0.0,0.0683,0.0,0.0683,0.0,-1.1769,0.0
Neural Demand (static),-1.006,0.0012,-0.0319,0.0026,0.05,0.0039,-0.2297,0.0067,-1.592,0.0061,0.9996,0.0103,0.1439,0.0046,0.0817,0.0067,-1.2101,0.0091
Neural Demand (habit),-1.0076,0.002,0.0045,0.0033,-0.0021,0.0042,0.0458,0.0079,-1.2417,0.0048,0.2711,0.0079,0.0086,0.0071,0.1601,0.0061,-1.1993,0.0058
Neural Demand (CF),-1.0579,0.0016,-0.2463,0.0065,0.3571,0.0069,-0.3023,0.0037,-1.7396,0.0159,1.146,0.0171,-0.0348,0.009,0.0368,0.0021,-1.0275,0.0048
"Neural Demand (habit, CF)",-1.0262,0.0032,-0.1227,0.0091,0.168,0.0107,-0.0426,0.0137,-1.3499,0.0138,0.4617,0.0165,0.0345,0.0145,0.0658,0.0101,-1.1011,0.0099
