Model,eps_0,eps_0_se,eps_1,eps_1_se,eps_2,eps_2_se
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0
Neural Demand (window),-0.98,0.0069,-1.186,0.003,-1.436,0.0093
Linear Demand (Shared),-0.1629,0.0,-0.2148,0.0,-0.1896,0.0
Linear Demand (GoodSpec),-0.1643,0.0,-0.205,0.0,-0.1809,0.0
Linear Demand (Orth),-1.1652,0.0,-1.1251,0.0,-1.1769,0.0
Neural Demand (static),-0.7566,0.0328,-1.5521,0.0349,-1.2838,0.012
Neural Demand (habit),-0.958,0.0053,-1.2371,0.0105,-1.2006,0.0177
PlaceboND,-0.7794,0.0372,-1.4683,0.0268,-1.318,0.0181
Neural Demand (FE),-0.9373,0.0226,-1.5056,0.0374,-0.8718,0.0371
"Neural Demand (habit, FE)",-0.9565,0.006,-1.248,0.0134,-1.1888,0.0121
Neural Demand (CF),-0.8445,0.0242,-1.5176,0.0259,-0.9949,0.0245
"Neural Demand (habit, CF)",-1.0119,0.012,-1.3414,0.0131,-1.2956,0.0099
"Neural Demand (habit, FE, CF)",-0.9618,0.0114,-1.3178,0.0178,-1.27,0.0138
