Model,RMSE_mean,RMSE_se,MAE_mean,MAE_se,KL_mean,KL_se
LA-AIDS,0.070687,0.0,0.055926,0.0,,
Logit-IV,0.077662,0.0,0.059908,0.0,,
QUAIDS,0.069565,0.0,0.055185,0.0,,
Series Est.,0.06514,0.0,0.050766,0.0,,
Linear Demand (Shared),0.092368,0.0,0.074264,0.0,,
Linear Demand (GoodSpec),0.092416,0.0,0.074361,0.0,,
Linear Demand (Orth),0.092906,0.0,0.074848,0.0,,
Neural Demand (static),0.085717,0.001126,0.067312,0.000996,,
Neural Demand (window),0.066548,0.004087,0.051519,0.003303,,
Neural Demand (habit),0.066118,0.002897,0.051046,0.002387,,
Neural Demand (FE),0.085229,0.000346,0.066505,0.000262,,
"Neural Demand (habit, FE)",0.07794,0.000618,0.060872,0.000621,,
Neural Demand (CF),0.086423,0.000354,0.06751,0.000393,,
"Neural Demand (habit, CF)",0.070225,0.001093,0.05429,0.000841,,
