Model,CV_mean,CV_se
LA-AIDS,-0.232182,0.0
Logit-IV,-0.221176,0.0
QUAIDS,-0.233916,0.0
Series Est.,-0.2333,0.0
Neural Demand (window),-0.234845,0.000699
Linear Demand (Shared),-0.285654,0.0
Linear Demand (GoodSpec),-0.285995,0.0
Linear Demand (Orth),-0.256126,0.0
Neural Demand (static),-0.233099,0.001514
Neural Demand (habit),-0.226604,0.000365
PlaceboND,-0.231573,0.001265
Neural Demand (FE),-0.231225,0.001174
"Neural Demand (habit, FE)",-0.231446,0.00039
Neural Demand (CF),-0.230398,0.002042
"Neural Demand (habit, CF)",-0.224603,0.000433
"Neural Demand (habit, FE, CF)",-0.229061,0.001425
