delta,kl_mean,kl_se
0.1,0.00320641,0.0007596
0.12931034,0.00297594,0.00076813
0.15862069,0.00281099,0.00078462
0.18793103,0.00263849,0.0007707
0.21724138,0.00254151,0.00061223
0.24655172,0.00238243,0.00068723
0.27586207,0.00223563,0.00069353
0.30517241,0.0021146,0.0007437
0.33448276,0.0020026,0.00071201
0.3637931,0.00181515,0.00071005
0.39310345,0.00168666,0.00067605
0.42241379,0.00150993,0.00066935
0.45172414,0.00136651,0.00063835
0.48103448,0.00125536,0.00063141
0.51034483,0.00115559,0.00066693
0.53965517,0.00102659,0.00062754
0.56896552,0.0009382,0.00062443
0.59827586,0.0008509,0.00060674
0.62758621,0.00081358,0.00064821
0.65689655,0.00079454,0.00060145
0.6862069,0.00078789,0.00059196
0.71551724,0.00081271,0.00054483
0.74482759,0.00094733,0.00054882
0.77413793,0.00112746,0.00054891
0.80344828,0.00139232,0.00052924
0.83275862,0.00178019,0.00052495
0.86206897,0.00215884,0.00047571
0.89137931,0.00311554,0.00074288
0.92068966,0.00411846,0.00079974
0.95,0.00516095,0.00068459
