DGP,Model,RMSE,MAE,RMSE_se,MAE_se
CES,LA-AIDS,0.009899,0.00678,0.000527,0.000589
CES,Logit-IV,0.022721,0.017056,0.001381,0.001026
CES,QUAIDS,0.01012,0.006867,0.000436,0.00053
CES,Series Estm.,0.002408,0.001519,0.000283,0.000205
CES,Linear Demand (Shared),0.153876,0.140035,0.000123,0.00029
CES,Linear Demand (GoodSpec),0.1552,0.140778,0.001116,0.000822
CES,Linear Demand (Orth),0.025867,0.019622,7.9e-05,0.00027
CES,Neural Demand (static),0.003723,0.002956,0.000137,8.2e-05
CES,Neural Demand (habit),0.005369,0.004092,0.000393,0.000304
CES,Neural Demand (CF),0.002707,0.002124,0.000191,0.00019
CES,"Neural Demand (habit, CF)",0.005289,0.004007,0.000701,0.000598
CES,Ground Truth,0.0,0.0,0.0,0.0
Quasilinear,LA-AIDS,2e-05,9e-06,4e-06,2e-06
Quasilinear,Logit-IV,0.005772,0.003334,2e-06,0.0
Quasilinear,QUAIDS,1.9e-05,9e-06,5e-06,3e-06
Quasilinear,Series Estm.,2.3e-05,1.2e-05,3e-06,2e-06
Quasilinear,Linear Demand (Shared),0.469517,0.4419,0.003863,0.004231
Quasilinear,Linear Demand (GoodSpec),0.469562,0.44204,0.003309,0.003678
Quasilinear,Linear Demand (Orth),0.007142,0.006722,5.8e-05,6.4e-05
Quasilinear,Neural Demand (static),1.9e-05,8e-06,7e-06,3e-06
Quasilinear,Neural Demand (habit),1.9e-05,7e-06,6e-06,3e-06
Quasilinear,Neural Demand (CF),2.1e-05,1.3e-05,9e-06,7e-06
Quasilinear,"Neural Demand (habit, CF)",1.9e-05,5e-06,7e-06,2e-06
Quasilinear,Ground Truth,0.0,0.0,0.0,0.0
Leontief,LA-AIDS,0.018363,0.013019,0.001438,0.00141
Leontief,Logit-IV,0.027539,0.022037,0.001533,0.001358
Leontief,QUAIDS,0.018166,0.012957,0.001406,0.001327
Leontief,Series Estm.,0.002781,0.001883,3.4e-05,1.6e-05
Leontief,Linear Demand (Shared),0.089231,0.077125,0.00228,0.002345
Leontief,Linear Demand (GoodSpec),0.093646,0.080215,0.003686,0.00364
Leontief,Linear Demand (Orth),0.029022,0.022918,0.000811,2.1e-05
Leontief,Neural Demand (static),0.060318,0.048249,0.004349,0.003794
Leontief,Neural Demand (habit),0.063218,0.050888,0.00799,0.006915
Leontief,Neural Demand (CF),0.062989,0.052272,0.003868,0.002685
Leontief,"Neural Demand (habit, CF)",0.064437,0.052693,0.006804,0.005325
Leontief,Ground Truth,0.0,0.0,0.0,0.0
Stone–Geary,LA-AIDS,0.006118,0.004522,0.000111,5e-05
Stone–Geary,Logit-IV,0.00489,0.004005,1.1e-05,4.5e-05
Stone–Geary,QUAIDS,0.006005,0.004345,8.8e-05,1e-05
Stone–Geary,Series Estm.,0.001098,0.000749,2.9e-05,2.5e-05
Stone–Geary,Linear Demand (Shared),0.122882,0.109235,0.000462,0.001473
Stone–Geary,Linear Demand (GoodSpec),0.122983,0.109436,0.000478,0.001404
Stone–Geary,Linear Demand (Orth),0.00336,0.00235,0.000132,5.5e-05
Stone–Geary,Neural Demand (static),0.021288,0.017117,0.000508,0.000589
Stone–Geary,Neural Demand (habit),0.02119,0.017086,0.000565,0.000651
Stone–Geary,Neural Demand (CF),0.021539,0.017217,0.000561,0.000673
Stone–Geary,"Neural Demand (habit, CF)",0.021246,0.017112,0.000624,0.00068
Stone–Geary,Ground Truth,0.0,0.0,0.0,0.0
Habit,LA-AIDS,0.043379,0.032492,0.001131,0.000512
Habit,Logit-IV,0.044763,0.03327,0.000927,2e-05
Habit,QUAIDS,0.043044,0.032179,0.001375,0.000449
Habit,Series Estm.,0.039742,0.02992,0.002294,0.000889
Habit,Linear Demand (Shared),0.144141,0.127682,0.002732,0.004929
Habit,Linear Demand (GoodSpec),0.144851,0.128127,0.003301,0.00537
Habit,Linear Demand (Orth),0.045308,0.033889,0.00093,0.000233
Habit,Neural Demand (static),0.040989,0.030811,0.001578,0.000594
Habit,Neural Demand (habit),0.027718,0.021144,0.00087,0.000494
Habit,Neural Demand (CF),0.042115,0.031453,0.001985,0.000837
Habit,"Neural Demand (habit, CF)",0.027818,0.020766,0.000267,3.9e-05
Habit,Ground Truth,0.0,0.0,0.0,0.0
Endogenous CES,LA-AIDS,0.088198,0.068207,0.001551,0.002375
Endogenous CES,Logit-IV,0.057972,0.045135,0.021462,0.01596
Endogenous CES,QUAIDS,0.092077,0.071764,0.002009,0.001362
Endogenous CES,Series Estm.,0.089409,0.067269,0.006044,0.002915
Endogenous CES,Linear Demand (Shared),0.163912,0.139878,0.000434,0.002105
Endogenous CES,Linear Demand (GoodSpec),0.163978,0.139923,0.000172,0.002191
Endogenous CES,Linear Demand (Orth),0.082696,0.064073,0.00885,0.00623
Endogenous CES,Neural Demand (static),0.07689,0.058604,0.004149,0.001762
Endogenous CES,Neural Demand (habit),0.082953,0.062698,0.004313,0.005435
Endogenous CES,Neural Demand (CF),0.043041,0.033765,0.003532,0.002478
Endogenous CES,"Neural Demand (habit, CF)",0.060751,0.047813,0.01575,0.011971
Endogenous CES,Ground Truth,0.0,0.0,0.0,0.0
