DGP,Model,eps0,eps1,eps2,eps0_se,eps1_se,eps2_se
CES,LA-AIDS,-1.4218,-1.4869,-1.6974,0.0011,0.0013,0.003
CES,BLP (IV),-1.4846,-1.6618,-1.7871,0.0041,0.0046,0.0044
CES,QUAIDS,-1.421,-1.4874,-1.6986,0.001,0.0011,0.0027
CES,Series Estm.,-1.4245,-1.4784,-1.7126,0.001,0.0006,0.0008
CES,Linear Demand (Shared),-1.5219,-1.6135,-1.5194,0.0081,0.0123,0.0129
CES,Linear Demand (GoodSpec),-1.5596,-1.7032,-1.5553,0.0071,0.0107,0.0139
CES,Linear Demand (Orth),-1.5148,-1.6881,-1.8376,0.0055,0.0058,0.0039
CES,Neural Demand (static),-1.4399,-1.49,-1.718,0.0015,0.0008,0.0007
CES,Neural Demand (habit),-1.4412,-1.4931,-1.7157,0.0005,0.0006,0.0006
CES,Neural Demand (CF),-1.4411,-1.4914,-1.7187,0.0012,0.0013,0.0017
CES,"Neural Demand (habit, CF)",-1.4318,-1.4797,-1.6948,0.0024,0.0026,0.0024
CES,Ground Truth,-1.4376,-1.4891,-1.7096,0.0011,0.0008,0.0007
Quasilinear,LA-AIDS,-1.0,-1.0,-1.0114,0.0,0.0,0.0114
Quasilinear,BLP (IV),-1.0,-3.948,-1.0024,0.0,0.0618,0.0024
Quasilinear,QUAIDS,-1.0,-1.0,-1.0117,0.0,0.0,0.0117
Quasilinear,Series Estm.,-1.0,-1.0,-1.0,0.0,0.0,0.0
Quasilinear,Linear Demand (Shared),-0.9813,-0.9888,-0.9829,0.0375,0.0464,0.0373
Quasilinear,Linear Demand (GoodSpec),-0.9741,-0.9716,-0.9756,0.0356,0.0414,0.0357
Quasilinear,Linear Demand (Orth),-0.9998,-0.9805,-0.9838,0.0003,0.0315,0.0271
Quasilinear,Neural Demand (static),-1.0,-2.9735,-1.1526,0.0,0.1602,0.0682
Quasilinear,Neural Demand (habit),-1.0,-4.0627,-1.1068,0.0,0.3674,0.0406
Quasilinear,Neural Demand (CF),-1.0,-3.7482,-1.1428,0.0,0.3662,0.0415
Quasilinear,"Neural Demand (habit, CF)",-1.0018,-2.0419,-1.1101,0.0072,0.3082,0.0422
Quasilinear,Ground Truth,-1.0,-1.0,-1.0,0.0,0.0,0.0
Leontief,LA-AIDS,-0.3429,-0.3977,-0.4623,0.0044,0.0024,0.0024
Leontief,BLP (IV),-0.204,-0.045,-0.3636,0.0052,0.0027,0.0031
Leontief,QUAIDS,-0.347,-0.398,-0.461,0.0043,0.0026,0.0023
Leontief,Series Estm.,-0.314,-0.2972,-0.4554,0.0016,0.0015,0.002
Leontief,Linear Demand (Shared),-0.2799,-0.2866,-0.2804,0.0072,0.0068,0.0078
Leontief,Linear Demand (GoodSpec),-0.2423,-0.2129,-0.2444,0.0057,0.0063,0.0089
Leontief,Linear Demand (Orth),-0.1882,-0.0549,-0.3504,0.0039,0.0026,0.0018
Leontief,Neural Demand (static),-0.2866,-0.2738,-0.4283,0.0027,0.002,0.0024
Leontief,Neural Demand (habit),-0.2847,-0.2724,-0.4274,0.0023,0.0016,0.0023
Leontief,Neural Demand (CF),-0.2855,-0.273,-0.4291,0.0025,0.0011,0.0027
Leontief,"Neural Demand (habit, CF)",-0.2961,-0.2953,-0.4463,0.0037,0.0056,0.0069
Leontief,Ground Truth,-0.2902,-0.2773,-0.4325,0.0017,0.0012,0.0023
Stone–Geary,LA-AIDS,-0.9171,-0.8873,-0.8661,0.0005,0.0005,0.001
Stone–Geary,BLP (IV),-0.9028,-0.8406,-0.8453,0.0003,0.0006,0.001
Stone–Geary,QUAIDS,-0.912,-0.8891,-0.8694,0.0003,0.0007,0.0008
Stone–Geary,Series Estm.,-0.9004,-0.8466,-0.8411,0.0003,0.0003,0.0006
Stone–Geary,Linear Demand (Shared),-0.8722,-0.8605,-0.873,0.0122,0.0137,0.0113
Stone–Geary,Linear Demand (GoodSpec),-0.8661,-0.8478,-0.8672,0.0121,0.0132,0.011
Stone–Geary,Linear Demand (Orth),-0.8971,-0.8364,-0.8375,0.0004,0.0005,0.001
Stone–Geary,Neural Demand (static),-0.9034,-0.8496,-0.8448,0.0007,0.0008,0.0009
Stone–Geary,Neural Demand (habit),-0.9067,-0.8554,-0.8507,0.0008,0.0008,0.0012
Stone–Geary,Neural Demand (CF),-0.903,-0.849,-0.8438,0.0004,0.0011,0.0009
Stone–Geary,"Neural Demand (habit, CF)",-0.913,-0.8616,-0.8634,0.0017,0.0017,0.0026
Stone–Geary,Ground Truth,-0.9048,-0.8464,-0.8484,0.0004,0.0005,0.0008
Habit,LA-AIDS,-1.1042,-1.1066,-1.1642,0.0025,0.0035,0.01
Habit,BLP (IV),-1.1002,-1.1228,-1.1504,0.0038,0.0059,0.0091
Habit,QUAIDS,-1.0941,-1.1067,-1.168,0.0038,0.0062,0.0077
Habit,Series Estm.,-1.0368,-0.979,-1.0659,0.0034,0.0033,0.0087
Habit,Linear Demand (Shared),-1.0821,-1.0736,-1.0829,0.013,0.0151,0.0126
Habit,Linear Demand (GoodSpec),-1.1035,-1.1222,-1.1034,0.0124,0.0151,0.0134
Habit,Linear Demand (Orth),-1.102,-1.1211,-1.1576,0.0028,0.0031,0.0038
Habit,Neural Demand (static),-1.0419,-0.989,-1.1057,0.0088,0.0161,0.0132
Habit,Neural Demand (habit),-1.0817,-1.1058,-1.1153,0.0032,0.0028,0.003
Habit,Neural Demand (CF),-1.0472,-0.9887,-1.0859,0.0115,0.0176,0.0152
Habit,"Neural Demand (habit, CF)",-1.3255,-1.3001,-1.1955,0.0138,0.0547,0.0108
Habit,Ground Truth,-1.2453,-1.1481,-0.9884,0.0457,0.0245,0.0275
Endogenous CES,LA-AIDS,-1.0487,-1.0624,-1.1221,0.0108,0.0138,0.0235
Endogenous CES,BLP (IV),-1.4948,-1.7104,-1.9325,0.0105,0.0446,0.0178
Endogenous CES,QUAIDS,-1.0378,-1.0507,-1.1093,0.0101,0.0146,0.0124
Endogenous CES,Series Estm.,-1.0535,-1.0488,-1.1641,0.0106,0.0135,0.0146
Endogenous CES,Linear Demand (Shared),-1.0621,-1.0658,-1.0623,0.0073,0.0085,0.0075
Endogenous CES,Linear Demand (GoodSpec),-1.0626,-1.0735,-1.0625,0.0068,0.0083,0.0075
Endogenous CES,Linear Demand (Orth),-1.0619,-1.073,-1.0918,0.0045,0.0052,0.0058
Endogenous CES,Neural Demand (static),-1.6741,-1.3959,-3.5063,0.9048,0.4401,0.7843
Endogenous CES,Neural Demand (habit),-1.7185,0.2859,-0.2896,2.0134,1.724,1.7111
Endogenous CES,Neural Demand (CF),-1.3675,-1.1821,-1.6497,0.1532,0.1578,0.1548
Endogenous CES,"Neural Demand (habit, CF)",-1.176,-1.0844,-1.1445,0.161,0.1736,0.1076
Endogenous CES,Ground Truth,-1.4376,-1.4891,-1.7096,0.0011,0.0008,0.0007
