Model,RMSE_mean,RMSE_se,KL_mean,KL_se,RMSE_reduction,CV_mean,CV_se
LA-AIDS,0.046254,0.001165,0.008871,0.000393,0.0,-128.624754,0.705792
Logit-IV,0.047695,0.001185,0.019579,0.000412,-3.120329,-127.418117,0.68796
QUAIDS,0.046192,0.001171,0.008851,0.000397,0.134636,-128.606603,0.593001
Series Estm.,0.045529,0.001134,0.00843,0.000372,1.560539,-128.513221,0.758345
Linear Demand (Shared),0.14856,0.000482,0.112306,0.000945,-221.994821,-98.038217,0.141485
Linear Demand (GoodSpec),0.14935,0.00052,0.113386,0.000987,-223.705237,-98.148812,0.144676
Linear Demand (Orth),0.047958,0.001191,0.00953,0.000416,-3.688018,-128.592896,0.714849
Neural Demand (static),0.046965,0.00139,0.008855,0.000463,-1.540629,-128.421858,0.459798
Neural Demand (habit),0.007882,0.000125,0.000282,6e-06,82.935914,-118.868045,0.453893
Neural Demand (CF),0.047102,0.001123,0.008958,0.00038,-1.860181,-128.584611,0.348537
"Neural Demand (habit, CF)",0.013808,0.000331,0.000817,3.1e-05,70.125131,-120.685206,0.615085
