DGP,Model,CV,CV_err_pct,CV_se,CV_err_pct_se
CES,LA-AIDS,-118.6084,0.509118,0.246026,0.076613
CES,Logit-IV,-116.249495,2.488719,1.071588,0.771692
CES,QUAIDS,-118.576509,0.535804,0.187393,0.027465
CES,Series Estm.,-119.469436,0.213078,0.29958,0.120593
CES,Linear Demand (Shared),-90.511175,24.077163,0.194978,0.262571
CES,Linear Demand (GoodSpec),-89.869486,24.615092,0.498541,0.516504
CES,Linear Demand (Orth),-116.571277,2.219135,1.37647,1.027082
CES,Neural Demand (static),-118.505318,0.5951,0.196773,0.294703
CES,Neural Demand (habit),-119.17044,0.13281,0.313754,0.037741
CES,Neural Demand (CF),-119.598046,0.321018,0.245199,0.074837
CES,"Neural Demand (habit, CF)",-120.567197,1.133809,0.384716,0.190806
CES,Ground Truth,-119.215227,0.0,0.155483,0.0
Quasilinear,LA-AIDS,-0.001154,295.476457,0.000428,146.779362
Quasilinear,Logit-IV,-0.000389,33.318132,5.2e-05,17.887505
Quasilinear,QUAIDS,-0.001806,518.986907,0.000237,81.156943
Quasilinear,Series Estm.,-0.000315,8.061224,2.4e-05,8.061024
Quasilinear,Linear Demand (Shared),-96.434375,33055840.824181,2.447749,839043.617858
Quasilinear,Linear Demand (GoodSpec),-96.402094,33044775.573293,1.986474,680927.038165
Quasilinear,Linear Demand (Orth),-1.468467,503263.568893,0.018202,6239.390722
Quasilinear,Neural Demand (static),-0.001629,458.550805,0.000332,113.86364
Quasilinear,Neural Demand (habit),-0.00173,493.001603,0.000639,218.884702
Quasilinear,Neural Demand (CF),-0.00258,784.298109,0.000676,231.632121
Quasilinear,"Neural Demand (habit, CF)",-11.093243,3802461.001293,2.922573,1001804.436834
Quasilinear,Ground Truth,-0.000292,0.0,0.0,0.0
Leontief,LA-AIDS,-79.241592,0.594254,0.775564,0.02013
Leontief,Logit-IV,-80.295591,1.370534,2.349147,1.278679
Leontief,QUAIDS,-78.773643,0.611238,0.805862,0.546731
Leontief,Series Estm.,-79.136899,0.16001,1.16685,0.09841
Leontief,Linear Demand (Shared),-107.633282,35.80639,0.829025,1.090365
Leontief,Linear Demand (GoodSpec),-108.438577,36.823941,0.761237,1.191891
Leontief,Linear Demand (Orth),-81.622916,2.949504,2.557317,1.606878
Leontief,Neural Demand (static),-74.855385,5.55659,0.850556,0.412555
Leontief,Neural Demand (habit),-75.845311,4.320946,1.533019,0.428998
Leontief,Neural Demand (CF),-74.959671,5.425744,0.888488,0.366759
Leontief,"Neural Demand (habit, CF)",-89.847256,13.41786,12.04634,13.139473
Leontief,Ground Truth,-79.264958,0.0,1.24685,0.0
Stone–Geary,LA-AIDS,-89.010325,0.342955,0.084633,0.184555
Stone–Geary,Logit-IV,-88.441808,0.979666,0.106251,0.029735
Stone–Geary,QUAIDS,-89.174123,0.159682,0.031751,0.054415
Stone–Geary,Series Estm.,-89.407849,0.116634,0.023611,0.102055
Stone–Geary,Linear Demand (Shared),-99.271118,11.143983,1.066885,1.094346
Stone–Geary,Linear Demand (GoodSpec),-99.411232,11.300856,1.066975,1.094306
Stone–Geary,Linear Demand (Orth),-89.454874,0.154553,0.127764,0.052799
Stone–Geary,Neural Demand (static),-88.273035,1.168548,0.029278,0.056274
Stone–Geary,Neural Demand (habit),-88.370235,1.059387,0.302567,0.42791
Stone–Geary,Neural Demand (CF),-88.237164,1.208725,0.044534,0.039158
Stone–Geary,"Neural Demand (habit, CF)",-92.679865,3.767506,2.069182,2.41018
Stone–Geary,Ground Truth,-89.31679,0.0,0.080481,0.0
Habit,LA-AIDS,-122.03023,5.538836,5.692247,5.129849
Habit,Logit-IV,-120.236816,5.15763,5.727896,3.98799
Habit,QUAIDS,-121.887845,5.414984,5.268156,4.762862
Habit,Series Estm.,-126.863462,9.720452,6.833845,6.125289
Habit,Linear Demand (Shared),-97.383943,15.78629,1.099424,0.785316
Habit,Linear Demand (GoodSpec),-97.046483,16.07844,1.288589,0.949475
Habit,Linear Demand (Orth),-121.352337,5.109827,5.670426,4.952571
Habit,Neural Demand (static),-124.131412,7.358031,6.950404,6.221446
Habit,Neural Demand (habit),-114.370474,4.124397,4.544625,1.087109
Habit,Neural Demand (CF),-122.593594,6.025546,5.412659,4.889024
Habit,"Neural Demand (habit, CF)",-126.788274,9.64345,0.218813,0.026172
Habit,Ground Truth,-115.636943,0.0,0.22717,0.0
Endogenous CES,LA-AIDS,-122.897546,3.086262,2.479087,1.945058
Endogenous CES,Logit-IV,-114.462593,3.990503,3.716504,2.992256
Endogenous CES,QUAIDS,-126.510636,6.119434,0.250887,0.072045
Endogenous CES,Series Estm.,-115.287163,7.447849,8.728594,3.285221
Endogenous CES,Linear Demand (Shared),-97.137674,18.517212,1.573208,1.425908
Endogenous CES,Linear Demand (GoodSpec),-97.058993,18.583056,1.715012,1.544771
Endogenous CES,Linear Demand (Orth),-120.859545,1.379166,0.26615,0.09103
Endogenous CES,Neural Demand (static),-114.618709,3.891214,4.489424,3.850572
Endogenous CES,Neural Demand (habit),-119.389692,9.401409,11.052181,0.158606
Endogenous CES,Neural Demand (CF),-125.354735,5.144408,5.216199,4.238315
Endogenous CES,"Neural Demand (habit, CF)",-120.341006,20.717159,24.854918,0.917305
Endogenous CES,Ground Truth,-119.215227,0.0,0.155483,0.0
