DGP,Model,CV_g0,CV_g1,CV_g2,CV_err_g0,CV_err_g1,CV_err_g2,CV_g0_se,CV_g1_se,CV_g2_se,CV_err_g0_se,CV_err_g1_se,CV_err_g2_se
CES,LA-AIDS,-64.869912,-65.115073,-18.984858,0.457042,0.46673,3.405169,0.187032,0.153196,0.125452,0.010152,0.011349,0.036717
CES,Logit-IV,-64.189104,-64.577269,-18.104629,1.502041,1.289348,1.392892,0.206346,0.199874,0.145678,0.069933,0.112738,0.155555
CES,QUAIDS,-64.845074,-65.126268,-18.998162,0.495239,0.449697,3.474801,0.191838,0.160026,0.146599,0.018808,0.033768,0.157683
CES,Series Estm.,-65.22487,-65.492596,-18.326462,0.087559,0.110304,0.181459,0.192562,0.156701,0.124572,0.007822,0.009522,0.015759
CES,Linear Demand (Shared),-49.391647,-49.576,-49.624525,24.209205,24.219336,170.297527,0.188401,0.127022,0.28203,0.085933,0.084929,0.294392
CES,Linear Demand (GoodSpec),-49.265946,-49.469345,-49.524608,24.402496,24.382461,169.750296,0.210604,0.136463,0.301698,0.11501,0.097821,0.185319
CES,Linear Demand (Orth),-64.70213,-65.119263,-18.338746,0.715293,0.461153,0.43303,0.239689,0.221481,0.156508,0.117896,0.13671,0.088882
CES,Neural Demand (static),-65.178185,-65.414571,-18.333017,0.026634,0.023707,0.145168,0.196687,0.155927,0.120914,0.011411,0.007532,0.04878
CES,Neural Demand (habit),-65.161072,-65.405707,-18.345766,0.082232,0.056737,0.096258,0.183456,0.149616,0.116124,0.015205,0.02679,0.061172
CES,Neural Demand (CF),-65.176607,-65.410124,-18.328874,0.033105,0.044848,0.169679,0.205012,0.166505,0.128548,0.013428,0.01528,0.04855
CES,"Neural Demand (habit, CF)",-64.821921,-65.548536,-18.610163,0.724041,0.533423,1.361555,0.246085,0.14811,0.148005,0.154051,0.102171,0.256387
CES,Ground Truth,-65.167826,-65.420405,-18.359763,0.0,0.0,0.0,0.19377,0.153307,0.124199,0.0,0.0,0.0
