Model,CV_g0,CV_g1,CV_g2,CV_err_g0,CV_err_g1,CV_err_g2,CV_g0_se,CV_g1_se,CV_g2_se,CV_err_g0_se,CV_err_g1_se,CV_err_g2_se
LA-AIDS,-65.928044,-66.270309,-19.479662,7.349371,7.723256,31.764478,0.287144,0.383459,0.190235,0.378578,0.578898,0.689617
Logit-IV,-65.310785,-65.706524,-19.146037,6.344205,6.80686,32.933176,0.29974,0.383214,0.174781,0.399169,0.581269,0.635588
QUAIDS,-65.674756,-66.259843,-19.765829,6.937025,7.706309,30.762157,0.250776,0.342136,0.176181,0.310102,0.509531,0.640337
Series Estm.,-66.256833,-66.734543,-19.298111,7.884907,8.47764,32.40057,0.348632,0.407747,0.173956,0.505796,0.610047,0.630736
Linear Demand (Shared),-50.630015,-50.651513,-50.628856,17.558992,17.664486,77.346372,0.024212,0.02351,0.072509,0.059556,0.063004,0.31693
Linear Demand (GoodSpec),-50.559063,-50.592156,-50.571987,17.674607,17.760976,77.147225,0.032534,0.023159,0.084232,0.037561,0.061566,0.357874
Linear Demand (Orth),-65.894386,-66.298551,-19.485711,7.294525,7.769187,31.743382,0.297082,0.375658,0.167696,0.395785,0.566401,0.611062
Neural Demand (static),-66.204688,-66.380925,-19.44245,7.801163,7.903112,31.895056,0.093012,0.297793,0.257236,0.139051,0.428356,0.914512
Neural Demand (habit),-60.704387,-60.605487,-30.59814,1.15589,1.48497,7.180698,0.281675,0.247479,0.321394,0.403382,0.343694,1.11579
Neural Demand (CF),-66.155967,-66.533259,-19.398325,7.721812,8.151396,32.049328,0.226651,0.268084,0.241059,0.362322,0.417676,0.864176
"Neural Demand (habit, CF)",-62.091301,-61.605221,-28.2021,1.103648,0.926909,1.83019,0.190356,0.361655,0.241036,0.330445,0.287913,0.499565
Ground Truth,-61.413809,-61.518626,-28.54808,0.0,0.0,0.0,0.066292,0.068552,0.010158,0.0,0.0,0.0
