seed,delta,model,CV
42,0.6000000000000001,Habit,-64.15324842407695
42,0.6333333333333333,Habit,-64.1163536804569
42,0.6666666666666667,Habit,-64.03334762376437
42,0.7,Habit,-64.2876949900404
42,0.7333333333333334,Habit,-64.09104725873166
42,0.6000000000000001,"Habit,CF",-47.14940963574398
42,0.6333333333333333,"Habit,CF",-47.14940963574398
42,0.6666666666666667,"Habit,CF",-47.14940963574398
42,0.7,"Habit,CF",-47.14940963574398
42,0.7333333333333334,"Habit,CF",-47.14940963574398
57,0.5666666666666667,Habit,-63.065337124626396
57,0.6000000000000001,Habit,-63.20315833985712
57,0.6333333333333333,Habit,-63.0173360044458
57,0.6666666666666667,Habit,-63.09478577911468
57,0.7,Habit,-63.22087119414252
57,0.7333333333333334,Habit,-62.98851663352122
57,0.7666666666666666,Habit,-62.62412173446847
57,0.5666666666666667,"Habit,CF",-73.90188406871425
57,0.6000000000000001,"Habit,CF",-73.90188406871425
57,0.6333333333333333,"Habit,CF",-73.90188406871425
57,0.6666666666666667,"Habit,CF",-73.90188406871425
57,0.7,"Habit,CF",-73.90188406871425
57,0.7333333333333334,"Habit,CF",-73.90188406871425
57,0.7666666666666666,"Habit,CF",-73.90188406871425
72,0.4,Habit,-65.56493433860146
72,0.43333333333333335,Habit,-65.62935965602178
72,0.4666666666666667,Habit,-65.63311976068621
72,0.5,Habit,-65.46397815555497
72,0.5333333333333333,Habit,-65.34924803553885
72,0.5666666666666667,Habit,-65.24895087006405
72,0.6000000000000001,Habit,-64.80894685354345
72,0.6333333333333333,Habit,-64.8875380269107
72,0.6666666666666667,Habit,-64.74752921776793
72,0.7,Habit,-64.67597713562544
72,0.7333333333333334,Habit,-64.46622818077344
72,0.7666666666666666,Habit,-64.352002784024
72,0.8,Habit,-64.28134444398952
72,0.8333333333333334,Habit,-63.60009422151271
72,0.8666666666666667,Habit,-64.2481831535471
72,0.9,Habit,-63.4379763058196
72,0.4,"Habit,CF",-69.03513345523638
72,0.43333333333333335,"Habit,CF",-69.03513345523638
72,0.4666666666666667,"Habit,CF",-69.03513345523638
72,0.5,"Habit,CF",-69.03513345523638
72,0.5333333333333333,"Habit,CF",-69.03513345523638
72,0.5666666666666667,"Habit,CF",-69.03513345523638
72,0.6000000000000001,"Habit,CF",-69.03513345523638
72,0.6333333333333333,"Habit,CF",-69.03513345523638
72,0.6666666666666667,"Habit,CF",-69.03513345523638
72,0.7,"Habit,CF",-69.03513345523638
72,0.7333333333333334,"Habit,CF",-69.03513345523638
72,0.7666666666666666,"Habit,CF",-69.03513345523638
72,0.8,"Habit,CF",-69.03513345523638
72,0.8333333333333334,"Habit,CF",-69.03513345523638
72,0.8666666666666667,"Habit,CF",-69.03513345523638
72,0.9,"Habit,CF",-69.03513345523638
87,0.5666666666666667,Habit,-64.06870212691447
87,0.6000000000000001,Habit,-64.22072763109146
87,0.6333333333333333,Habit,-64.22289773330161
87,0.6666666666666667,Habit,-64.06433916076617
87,0.7,Habit,-63.98256873688787
87,0.5666666666666667,"Habit,CF",-64.21114769942207
87,0.6000000000000001,"Habit,CF",-64.21114769942207
87,0.6333333333333333,"Habit,CF",-64.21114769942207
87,0.6666666666666667,"Habit,CF",-64.21114769942207
87,0.7,"Habit,CF",-64.21114769942207
102,0.6000000000000001,Habit,-64.30334039785114
102,0.6333333333333333,Habit,-64.14780234042077
102,0.6666666666666667,Habit,-63.824891551443166
102,0.7,Habit,-63.61141501072879
102,0.7333333333333334,Habit,-63.779124910727674
102,0.6000000000000001,"Habit,CF",-61.79679386336354
102,0.6333333333333333,"Habit,CF",-61.79679386336354
102,0.6666666666666667,"Habit,CF",-61.79679386336354
102,0.7,"Habit,CF",-61.79679386336354
102,0.7333333333333334,"Habit,CF",-61.79679386336354
